customer_id,city,gender,education_level,employment_status,device_type,membership_plan,satisfaction,newsletter,support_contacted,preferred_payment
2291,Jaipur,Male,Bachelor's,Self-employed,Android,Basic,Very Satisfied,No,No,Net Banking
2292,Mumbai,Male,Bachelor's,Employed,Android,Standard,Very Satisfied,Yes,No,Credit Card
2293,Delhi,Female,Master's,Employed,Windows Laptop,Basic,Satisfied,No,No,Cash
2294,Jaipur,Female,Bachelor's,Student,Windows Laptop,Basic,Neutral,No,No,UPI
2295,Jaipur,Female,Diploma,Employed,iPhone,Premium,Satisfied,Yes,No,Debit Card
2296,Mumbai,Male,Bachelor's,Employed,MacBook,Premium,Dissatisfied,No,No,Cash
2297,Mumbai,Male,Master's,Employed,Windows Laptop,Standard,Satisfied,No,No,Credit Card
2298,Delhi,Female,Master's,Student,iPhone,Basic,Satisfied,Yes,No,Debit Card
2299,Hyderabad,Male,Bachelor's,Unemployed,iPhone,Premium,Neutral,Yes,No,Credit Card
2300,Mumbai,Non-binary,Bachelor's,Employed,iPhone,Basic,Satisfied,No,No,Debit Card
2301,Chennai,Male,Diploma,Employed,Windows Laptop,Basic,Very Satisfied,No,No,Net Banking
2302,Delhi,Male,Master's,Employed,iPhone,Basic,Dissatisfied,Yes,No,Debit Card
2303,Bengaluru,Male,Master's,Unemployed,iPhone,Premium,Satisfied,No,No,Cash
2304,Delhi,Female,Bachelor's,Unemployed,Windows Laptop,Premium,Satisfied,No,No,Credit Card
2305,Bengaluru,Female,Master's,Employed,Windows Laptop,Standard,Neutral,No,No,Credit Card
2306,Jaipur,Male,Diploma,Employed,MacBook,Basic,Satisfied,No,Yes,UPI
2307,Jaipur,Female,Master's,Employed,Android,Standard,Satisfied,Yes,No,Debit Card
2308,Pune,Male,Diploma,Self-employed,Windows Laptop,Basic,Dissatisfied,Yes,No,Net Banking
2309,Delhi,Female,Diploma,Employed,iPhone,Premium,Dissatisfied,Yes,No,Credit Card
2310,Delhi,Female,Bachelor's,Student,Android,Basic,Very Satisfied,Yes,No,UPI
2311,Kolkata,Female,Bachelor's,Student,Windows Laptop,Basic,Neutral,Yes,No,Credit Card
2312,Jaipur,Non-binary,PhD,Unemployed,Windows Laptop,Standard,Satisfied,No,No,Debit Card
2313,Bengaluru,Female,Bachelor's,Self-employed,iPhone,Basic,Satisfied,No,No,Cash
2314,Bengaluru,Female,Master's,Unemployed,Windows Laptop,Premium,Very Satisfied,Yes,No,UPI
2315,Delhi,Female,Master's,Employed,Android,Basic,Satisfied,No,No,UPI
2316,Mumbai,Male,Master's,Employed,Android,Standard,Very Satisfied,Yes,No,Credit Card
2317,Jaipur,Non-binary,Master's,Self-employed,Android,Basic,Satisfied,Yes,No,UPI
2318,Hyderabad,Female,Bachelor's,Employed,iPhone,Basic,Satisfied,Yes,No,Cash
2319,Delhi,Male,Bachelor's,Student,Windows Laptop,Basic,Satisfied,Yes,No,Credit Card
2320,Delhi,Female,Diploma,Retired,MacBook,Basic,Satisfied,Yes,No,Credit Card
2321,Delhi,Male,Bachelor's,Student,Windows Laptop,Standard,Satisfied,No,Yes,UPI
2322,Kolkata,Female,Master's,Employed,Android,Basic,Dissatisfied,No,Yes,Credit Card
2323,Hyderabad,Male,Bachelor's,Employed,Android,Basic,Satisfied,Yes,No,Cash
2324,Kolkata,Male,Bachelor's,Employed,Android,Standard,Satisfied,Yes,Yes,Credit Card
2325,Pune,Male,Diploma,Employed,Windows Laptop,Basic,Very Dissatisfied,Yes,No,UPI
2326,Pune,Female,Bachelor's,Employed,Android,Standard,Neutral,No,No,UPI
2327,Bengaluru,Male,Master's,Student,iPhone,Standard,Very Satisfied,No,Yes,Cash
2328,Kolkata,Non-binary,Bachelor's,Self-employed,Windows Laptop,Basic,Satisfied,Yes,No,Cash
2329,Bengaluru,Female,Master's,Student,Windows Laptop,Standard,Very Satisfied,Yes,No,UPI
2330,Mumbai,Male,Bachelor's,Employed,Android,Basic,Satisfied,Yes,No,Credit Card
2331,Pune,Male,Master's,Employed,Android,Basic,Very Satisfied,No,No,UPI
2332,Bengaluru,Female,Bachelor's,Student,Windows Laptop,Basic,Very Satisfied,Yes,No,Credit Card
2333,Jaipur,Male,Bachelor's,Employed,iPhone,Premium,Dissatisfied,Yes,Yes,UPI
2334,Mumbai,Female,Diploma,Employed,Android,Standard,Very Satisfied,Yes,Yes,Net Banking
2335,Delhi,Male,Bachelor's,Student,MacBook,Standard,Very Dissatisfied,Yes,No,Cash
2336,Chennai,Female,Master's,Student,iPhone,Premium,Satisfied,Yes,No,UPI
2337,Mumbai,Female,Bachelor's,Employed,iPhone,Basic,Very Satisfied,Yes,No,Credit Card
2338,Chennai,Male,Diploma,Unemployed,Android,Premium,Satisfied,No,No,UPI
2339,Mumbai,Male,Master's,Employed,Android,Standard,Satisfied,Yes,Yes,UPI
2340,Hyderabad,Male,High School,Employed,Android,Premium,Satisfied,Yes,No,UPI
2341,Jaipur,Non-binary,Bachelor's,Retired,Android,Premium,Dissatisfied,Yes,No,UPI
2342,Kolkata,Female,PhD,Employed,iPhone,Premium,Very Dissatisfied,Yes,No,Cash
2343,Bengaluru,Female,Bachelor's,Employed,iPhone,Basic,Dissatisfied,No,No,UPI
2344,Delhi,Female,Master's,Employed,MacBook,Standard,Dissatisfied,No,Yes,Net Banking
2345,Delhi,Male,Bachelor's,Employed,Tablet,Standard,Satisfied,Yes,Yes,UPI
2346,Delhi,Male,Master's,Employed,Android,Standard,Satisfied,No,No,Credit Card
2347,Mumbai,Male,Master's,Employed,Android,Basic,Satisfied,No,No,Credit Card
2348,Hyderabad,Male,Master's,Student,Windows Laptop,Premium,Satisfied,No,No,Cash
2349,Kolkata,Female,Diploma,Employed,Tablet,Basic,Very Dissatisfied,Yes,No,UPI
2350,Pune,Female,Master's,Student,MacBook,Standard,Neutral,Yes,Yes,UPI
2351,Bengaluru,Male,Diploma,Employed,Android,Standard,Very Satisfied,Yes,No,Debit Card
2352,Mumbai,Female,PhD,Student,Android,Basic,Very Satisfied,No,Yes,Debit Card
2353,Chennai,Female,Diploma,Employed,Android,Standard,Satisfied,Yes,Yes,Debit Card
2354,Chennai,Female,Diploma,Employed,MacBook,Basic,Dissatisfied,Yes,No,UPI
2355,Delhi,Female,Master's,Employed,iPhone,Standard,Very Satisfied,Yes,No,UPI
2356,Kolkata,Female,Diploma,Student,,Premium,Very Satisfied,Yes,No,Net Banking
2357,Mumbai,Male,Bachelor's,Employed,iPhone,Basic,Satisfied,Yes,Yes,Credit Card
2358,Hyderabad,Female,Master's,Self-employed,Android,Standard,Neutral,Yes,No,Credit Card
2359,Kolkata,Male,Diploma,Employed,iPhone,Basic,Very Dissatisfied,Yes,No,UPI
2360,Pune,Male,Diploma,Employed,Android,Premium,Satisfied,No,No,UPI
2361,Jaipur,Male,Bachelor's,Employed,Windows Laptop,Premium,Very Satisfied,No,No,Cash
2362,Bengaluru,Female,Diploma,Student,Windows Laptop,Basic,Satisfied,Yes,No,Debit Card
2363,Jaipur,Female,Diploma,Employed,Windows Laptop,Standard,Neutral,No,Yes,UPI
2364,Hyderabad,Female,High School,Employed,Android,Standard,Satisfied,Yes,No,Cash
2365,Delhi,Female,Bachelor's,Student,MacBook,Standard,Very Satisfied,No,No,Credit Card
2366,Pune,Female,Bachelor's,Unemployed,Windows Laptop,Standard,Satisfied,No,No,UPI
2367,Kolkata,Male,High School,Student,Android,Standard,Very Satisfied,Yes,No,Credit Card
2368,Delhi,Female,Bachelor's,Employed,Android,Standard,Satisfied,Yes,No,Debit Card
2369,Mumbai,Female,Bachelor's,Employed,Windows Laptop,Basic,Satisfied,Yes,No,UPI
2370,Pune,Female,High School,Employed,Android,Basic,Satisfied,Yes,Yes,Credit Card
2371,Mumbai,Male,Bachelor's,Employed,Android,Premium,Satisfied,Yes,No,Debit Card
2372,Delhi,Male,Master's,Student,Android,Basic,Very Satisfied,Yes,No,UPI
2373,Jaipur,Male,Bachelor's,Unemployed,Android,Standard,Satisfied,No,No,Cash
2374,Mumbai,Male,Bachelor's,Employed,iPhone,Basic,Satisfied,Yes,No,UPI
2375,Pune,Male,Bachelor's,Unemployed,iPhone,Premium,Satisfied,Yes,Yes,Credit Card
2376,Bengaluru,Male,Diploma,Self-employed,Android,Standard,Satisfied,Yes,No,Debit Card
2377,Jaipur,Female,Master's,Unemployed,Windows Laptop,Basic,Satisfied,Yes,No,Credit Card
2378,Mumbai,Male,Master's,Employed,Android,Basic,Satisfied,No,No,Credit Card
2379,Mumbai,Male,Master's,Employed,Android,Basic,Satisfied,Yes,No,Credit Card
2380,Delhi,Female,Diploma,Employed,Android,Premium,Satisfied,Yes,No,Net Banking
2381,Hyderabad,Male,Bachelor's,Employed,Windows Laptop,Standard,Satisfied,Yes,No,Debit Card
2382,Delhi,Male,Diploma,Employed,Tablet,Basic,Dissatisfied,Yes,No,Net Banking
2383,Bengaluru,Male,Bachelor's,Employed,iPhone,Standard,Satisfied,Yes,Yes,UPI
2384,Kolkata,Female,Bachelor's,Student,Android,Basic,Satisfied,No,No,Credit Card
2385,Bengaluru,Male,Bachelor's,Self-employed,Android,Basic,Satisfied,Yes,No,Credit Card
2386,Pune,Male,Diploma,Student,Android,Basic,Satisfied,Yes,No,UPI
2387,Jaipur,Female,Master's,Unemployed,MacBook,Basic,Very Satisfied,Yes,No,Debit Card
2388,Delhi,Female,High School,Student,Android,Standard,Very Satisfied,No,No,UPI
2389,Jaipur,Female,High School,Student,Tablet,Premium,Satisfied,Yes,Yes,UPI
2390,Hyderabad,Female,Master's,Self-employed,iPhone,Premium,Neutral,Yes,No,UPI
2391,Chennai,Non-binary,Master's,Self-employed,iPhone,Premium,Satisfied,No,No,UPI
2392,Delhi,Male,Bachelor's,Employed,MacBook,Basic,Satisfied,No,Yes,UPI
2393,Delhi,Female,Bachelor's,Unemployed,Android,Basic,Satisfied,Yes,Yes,Credit Card
2394,Mumbai,Female,Diploma,Employed,Windows Laptop,Standard,Satisfied,No,No,Credit Card
2395,Bengaluru,Non-binary,Diploma,Self-employed,Android,Premium,Very Satisfied,No,No,UPI
2396,Pune,Female,Bachelor's,Employed,MacBook,Standard,Neutral,Yes,No,UPI
2397,Pune,Male,Bachelor's,Employed,iPhone,Standard,Satisfied,No,Yes,Net Banking
2398,Kolkata,Female,Bachelor's,Employed,Android,Standard,Dissatisfied,Yes,No,UPI
2399,Delhi,Female,Diploma,Student,MacBook,Standard,Satisfied,Yes,Yes,Credit Card
2400,Pune,Male,Master's,Employed,Android,Premium,Satisfied,Yes,No,Credit Card
2401,Bengaluru,Female,Master's,Employed,Android,Standard,Satisfied,No,No,Credit Card
2402,Delhi,Male,Diploma,Student,Windows Laptop,Basic,,Yes,No,Net Banking
2403,Kolkata,Female,High School,Unemployed,iPhone,Basic,Very Satisfied,Yes,No,Credit Card
2404,Jaipur,Male,Bachelor's,Employed,MacBook,Standard,Very Satisfied,Yes,No,Cash
2405,Hyderabad,Male,Master's,Student,Windows Laptop,Basic,Satisfied,Yes,Yes,Net Banking
2406,Hyderabad,Male,Master's,Employed,Windows Laptop,Premium,Very Satisfied,No,No,UPI
2407,Kolkata,Female,Master's,Student,Android,Standard,Satisfied,No,No,UPI
2408,Bengaluru,Male,Bachelor's,Student,Android,Basic,Very Satisfied,Yes,No,UPI
2409,Mumbai,Non-binary,Diploma,Employed,Tablet,Basic,Neutral,No,No,Credit Card
2410,Chennai,Female,Bachelor's,Student,Android,Standard,Neutral,No,No,Credit Card
2411,Hyderabad,Female,Diploma,Student,iPhone,Standard,Satisfied,Yes,No,UPI
2412,Bengaluru,Male,Master's,Employed,Android,Basic,Dissatisfied,Yes,Yes,UPI
2413,Hyderabad,Female,Diploma,Student,Android,Premium,Satisfied,Yes,Yes,Credit Card
2414,Delhi,Male,Bachelor's,Self-employed,iPhone,Basic,Neutral,Yes,Yes,Debit Card
2415,Bengaluru,Male,Bachelor's,Self-employed,Windows Laptop,Basic,Satisfied,Yes,No,Debit Card
2416,Chennai,Female,Bachelor's,Student,Windows Laptop,Basic,Neutral,Yes,No,Cash
2417,Delhi,Male,Bachelor's,Employed,MacBook,Standard,Dissatisfied,No,No,UPI
2418,Bengaluru,Male,Bachelor's,Student,Android,Standard,Very Satisfied,Yes,No,Credit Card
2419,Kolkata,Female,Master's,Employed,iPhone,Premium,Satisfied,No,Yes,Cash
2420,Hyderabad,Male,Master's,Student,Android,Basic,Very Satisfied,No,No,Debit Card
2421,Chennai,Female,Master's,Unemployed,Windows Laptop,Premium,Satisfied,Yes,Yes,Credit Card
2422,Mumbai,Female,Bachelor's,Student,Android,Standard,Very Dissatisfied,Yes,No,Credit Card
2423,Kolkata,Male,Bachelor's,Employed,iPhone,Basic,Satisfied,No,No,UPI
2424,Jaipur,Female,Bachelor's,Student,Android,Basic,Satisfied,No,No,Net Banking
2425,Bengaluru,Male,Bachelor's,Student,MacBook,Basic,Very Dissatisfied,Yes,Yes,Credit Card
2426,Bengaluru,Female,Bachelor's,Employed,MacBook,Premium,Very Satisfied,No,Yes,Credit Card
2427,Hyderabad,Male,Bachelor's,Employed,MacBook,Basic,Satisfied,Yes,No,Credit Card
2428,Kolkata,Female,High School,Retired,Android,Basic,Satisfied,No,Yes,Credit Card
2429,Hyderabad,Male,High School,Student,Tablet,Standard,Satisfied,No,No,UPI
2430,Pune,Male,Master's,Student,Android,Premium,Satisfied,Yes,No,Debit Card
2431,Mumbai,Male,High School,Employed,Android,Standard,Neutral,Yes,No,Credit Card
2432,Bengaluru,Non-binary,Bachelor's,Employed,Android,Standard,Very Satisfied,Yes,Yes,UPI
2433,Bengaluru,Male,Bachelor's,Self-employed,Android,Basic,Satisfied,No,No,Credit Card
2434,Jaipur,Male,Diploma,Unemployed,iPhone,Premium,Neutral,No,No,Net Banking
2435,Bengaluru,Male,Master's,Self-employed,Android,Basic,Very Dissatisfied,No,No,UPI
2436,Chennai,Male,Diploma,Student,iPhone,Basic,Satisfied,Yes,No,Credit Card
2437,Pune,Male,Master's,Employed,Windows Laptop,Premium,Very Satisfied,Yes,Yes,Credit Card
2438,Hyderabad,Male,Master's,Employed,MacBook,Basic,Very Satisfied,Yes,No,Debit Card
2439,Mumbai,Female,Diploma,Employed,Windows Laptop,Basic,Satisfied,Yes,No,Debit Card
2440,Bengaluru,Male,Diploma,Employed,iPhone,Standard,Very Satisfied,Yes,No,Net Banking
2441,Jaipur,Male,Bachelor's,Employed,Android,Basic,Satisfied,No,No,UPI
2442,Mumbai,Female,Bachelor's,Employed,MacBook,Basic,Satisfied,Yes,No,Net Banking
2443,Bengaluru,Female,Diploma,Self-employed,Android,Standard,Satisfied,No,No,Net Banking
2444,Delhi,Non-binary,PhD,Employed,Android,Standard,Dissatisfied,No,No,Credit Card
2445,Jaipur,Female,Diploma,Unemployed,Android,Standard,Neutral,No,No,Credit Card
2446,Pune,Female,Master's,Employed,Windows Laptop,Basic,Satisfied,Yes,No,UPI
2447,Mumbai,Female,Diploma,Student,Android,Standard,Neutral,No,No,Credit Card
2448,Mumbai,Female,PhD,Employed,Windows Laptop,Standard,Very Satisfied,No,No,UPI
2449,Delhi,Male,Diploma,Student,Android,Basic,Very Satisfied,Yes,No,UPI
2450,Bengaluru,Male,Bachelor's,Employed,iPhone,Basic,Satisfied,No,Yes,Cash
